Unnamed: 0,Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,DAYS_REST,PASS,FG2M,FG2_PCT,OPEN_SHOTS,COVERED_SHOTS,OPEN_EFG,COVERED_EFG,PASS_AST,RESULT
,1610612764,21600877,2017-02-26,WAS vs. UTA,L,34.0,23.0,0.596,240,37,87,0.425,8,22,0.364,10,13,0.769,6,21,27,21,16,1,15,27,92,2.0,244.0,25.0,3.487,41.0,45.0,0.560975609756,0.4,11.619047619,0.0
,1610612764,21600856,2017-02-24,WAS @ PHI,L,34.0,22.0,0.607,240,38,90,0.422,5,24,0.208,31,40,0.775,12,31,43,19,8,5,16,25,112,8.0,237.0,27.0,3.531,39.0,51.0,0.448717948718,0.450980392157,12.4736842105,0.0
,1610612764,21600848,2017-02-16,WAS @ IND,W,34.0,21.0,0.618,240,43,83,0.518,15,29,0.517,10,15,0.667,8,31,39,23,5,3,10,19,111,3.0,268.0,23.0,4.846,43.0,40.0,0.709302325581,0.5,11.652173913,1.0
,1610612764,21600820,2017-02-13,WAS vs. OKC,W,33.0,21.0,0.611,240,42,73,0.575,13,21,0.619,23,28,0.821,6,34,40,27,4,9,22,24,120,3.0,276.0,26.0,4.684,36.0,37.0,0.805555555556,0.527027027027,10.2222222222,1.0
0.0,1610612764,21600805,2017-02-10,WAS vs. IND,W,32.0,21.0,0.604,240,41,88,0.466,10,29,0.345,20,30,0.667,14,32,46,29,8,4,11,13,112,2.0,283.0,26.0,4.589,47.0,41.0,0.5,0.548780487805,9.75862068966,1.0
1.0,1610612764,21600784,2017-02-08,WAS @ BKN,W,31.0,21.0,0.596,265,40,97,0.412,9,25,0.36,25,33,0.758,17,37,54,21,9,5,12,26,114,2.0,265.0,29.0,3.47,50.0,47.0,0.5,0.414893617021,12.619047619,1.0
2.0,1610612764,21600769,2017-02-06,WAS vs. CLE,L,30.0,21.0,0.588,265,50,99,0.505,12,29,0.414,23,26,0.885,11,32,43,29,9,5,12,25,135,2.0,262.0,35.0,4.834,42.0,57.0,0.702380952381,0.464912280702,9.03448275862,0.0
3.0,1610612764,21600755,2017-02-04,WAS vs. NOP,W,30.0,20.0,0.6,240,38,83,0.458,10,31,0.323,19,22,0.864,7,39,46,20,10,6,12,19,105,2.0,255.0,22.0,4.063,42.0,41.0,0.595238095238,0.439024390244,12.75,1.0
4.0,1610612764,21600742,2017-02-02,WAS vs. LAL,W,29.0,20.0,0.592,240,44,96,0.458,12,33,0.364,16,21,0.762,12,33,45,27,11,6,10,19,116,2.0,296.0,27.0,4.449,54.0,41.0,0.518518518519,0.536585365854,10.962962963,1.0
5.0,1610612764,21600724,2017-01-31,WAS vs. NYK,W,28.0,20.0,0.583,240,49,88,0.557,7,22,0.318,12,15,0.8,9,37,46,27,4,4,12,25,117,2.0,252.0,39.0,5.484,48.0,40.0,0.59375,0.6,9.33333333333,1.0
6.0,1610612764,21600714,2017-01-29,WAS @ NOP,W,27.0,20.0,0.574,240,45,89,0.506,10,21,0.476,7,10,0.7,10,35,45,28,9,3,10,17,107,2.0,262.0,30.0,4.219,43.0,46.0,0.627906976744,0.5,9.35714285714,1.0
7.0,1610612764,21600702,2017-01-27,WAS @ ATL,W,26.0,20.0,0.565,240,43,89,0.483,13,31,0.419,13,19,0.684,13,39,52,26,12,10,18,24,112,3.0,277.0,24.0,4.965,41.0,48.0,0.609756097561,0.510416666667,10.6538461538,1.0
8.0,1610612764,21600676,2017-01-24,WAS vs. BOS,W,25.0,20.0,0.556,240,48,84,0.571,9,20,0.45,18,21,0.857,8,35,43,21,7,4,15,18,123,1.0,236.0,30.0,4.38,36.0,47.0,0.694444444444,0.585106382979,11.2380952381,1.0
9.0,1610612764,21600665,2017-01-23,WAS @ CHA,W,24.0,20.0,0.545,240,43,80,0.538,10,25,0.4,13,17,0.765,5,42,47,22,5,3,14,23,109,2.0,268.0,27.0,5.199,42.0,38.0,0.630952380952,0.565789473684,12.1818181818,1.0
10.0,1610612764,21600651,2017-01-21,WAS @ DET,L,23.0,20.0,0.535,240,39,91,0.429,8,26,0.308,26,33,0.788,13,34,47,23,12,3,11,22,112,2.0,251.0,23.0,3.652,36.0,53.0,0.486111111111,0.481132075472,10.9130434783,0.0
