eth.src,eth.dst,ip.src,ip.dst,ip.proto
64:00:6a:81:7a:69,33:33:ff:c5:af:70,,,
6c:0b:84:67:c4:2e,33:33:00:00:00:0c,,,
78:2b:cb:97:1a:23,33:33:ff:c5:af:70,,,
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
64:00:6a:89:06:54,ff:ff:ff:ff:ff:ff,,,
64:00:6a:89:06:54,33:33:ff:c5:af:70,,,
64:00:6a:89:06:54,33:33:ff:c5:af:70,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
64:00:6a:89:00:56,33:33:ff:c5:af:70,,,
64:00:6a:89:00:56,33:33:ff:c5:af:70,,,
90:b1:1c:a4:c3:35,ff:ff:ff:ff:ff:ff,,,
90:b1:1c:a4:c3:35,33:33:ff:c5:af:70,,,
90:b1:1c:a4:c3:35,33:33:ff:c5:af:70,,,
90:b1:1c:82:a2:31,ff:ff:ff:ff:ff:ff,,,
90:b1:1c:82:a2:31,33:33:ff:c5:af:70,,,
90:b1:1c:82:a2:31,33:33:ff:c5:af:70,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:16,10.134.127.99,224.0.0.22,2
6c:0b:84:67:c4:2e,33:33:00:00:00:16,,,
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
64:00:6a:89:5e:68,33:33:ff:c5:af:70,,,
64:00:6a:89:5e:68,33:33:ff:c5:af:70,,,
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
64:00:6a:75:76:6a,01:00:5e:7f:ff:fa,10.134.110.107,239.255.255.250,17
6c:0b:84:67:c4:2e,01:00:5e:00:00:16,10.134.127.99,224.0.0.22,2
6c:0b:84:67:c4:2e,33:33:00:00:00:16,,,
6c:0b:84:67:c4:2e,33:33:00:00:00:16,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:16,10.134.127.99,224.0.0.22,2
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,01:00:5e:00:00:16,10.134.127.99,224.0.0.22,2
6c:0b:84:67:c4:2e,33:33:00:00:00:16,,,
00:0c:29:ae:12:bc,01:00:5e:00:00:16,192.168.1.199,224.0.0.22,2
64:00:6a:72:2f:2c,33:33:ff:c5:af:70,,,
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
64:00:6a:72:2f:2c,01:00:5e:7f:ff:fa,10.134.126.60,239.255.255.250,17
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,104.16.112.18,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.112.18,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,104.16.112.18,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.112.18,6
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
00:0c:29:41:47:cf,01:00:5e:00:00:16,10.134.99.139,224.0.0.22,2
78:2b:cb:97:1a:23,33:33:00:01:00:03,,,
78:2b:cb:97:1a:23,01:00:5e:00:00:fc,10.134.73.14,224.0.0.252,17
00:0c:29:84:b5:ac,01:00:5e:00:00:16,10.134.111.71,224.0.0.22,2
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,104.16.112.18,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.112.18,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,104.16.112.18,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.112.18,6
78:2b:cb:97:1a:23,33:33:00:01:00:03,,,
78:2b:cb:97:1a:23,01:00:5e:00:00:fc,10.134.73.14,224.0.0.252,17
00:0c:29:d1:c7:40,01:00:5e:00:00:16,10.134.87.108,224.0.0.22,2
78:2b:cb:97:1a:23,ff:ff:ff:ff:ff:ff,10.134.73.14,10.134.127.255,17
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,104.16.112.18,10.134.116.85,6
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.112.18,6
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,104.16.112.18,10.134.116.85,6
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,ff:ff:ff:ff:ff:ff,10.134.127.99,10.134.127.255,17
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,104.16.112.18,6
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
6c:0b:84:67:c4:2e,01:00:5e:7f:ff:fa,10.134.127.99,239.255.255.250,17
5c:f9:dd:76:84:0b,00:00:5e:00:01:07,10.134.116.85,151.101.129.69,6
00:0c:29:b1:d5:89,01:00:5e:00:00:16,10.134.96.142,224.0.0.22,2
00:0c:29:ed:eb:d3,ff:ff:ff:ff:ff:ff,,,
00:0c:29:e9:92:47,ff:ff:ff:ff:ff:ff,,,
00:00:5e:00:01:07,5c:f9:dd:76:84:0b,151.101.129.69,10.134.116.85,6
18:66:da:ea:8c:f2,01:00:5e:00:00:16,10.134.72.146,224.0.0.22,2
6c:0b:84:67:c4:2e,33:33:00:01:00:03,,,
6c:0b:84:67:c4:2e,01:00:5e:00:00:fc,10.134.127.99,224.0.0.252,17
